                    _______________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________
                   | Nomination_Chirac1.txt          | Nomination_Chirac2.txt          | Nomination_Giscard dEstaing.txt | Nomination_Hollande.txt         | Nomination_Macron.txt           | Nomination_Mitterrand1.txt      | Nomination_Mitterrand2.txt      | Nomination_Sarkozy.txt          |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| pas              | 0.05799194697768673             | 0                               | 0.23196778791074693             | 0.3479516818661204              | 0.23196778791074693             | 0.2899597348884337              | 0.2899597348884337              | 0.6379114167545541              |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| vu               | 0.8519374645445622              | 0                               | 0                               | 0                               | 0.4259687322722811              | 0                               | 0.4259687322722811              | 0                               |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| victoire         | 0.8519374645445622              | 0                               | 0                               | 0                               | 0                               | 0                               | 0.4259687322722811              | 0.4259687322722811              |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| france           | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| contre           | 0.6020599913279624              | 0                               | 0                               | 0.9030899869919435              | 0                               | 0.6020599913279624              | 0                               | 0.9030899869919435              |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| autre            | 0.6123599479677744              | 0.2041199826559248              | 0                               | 0.2041199826559248              | 0                               | 0.2041199826559248              | 0.4082399653118496              | 0                               |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| idéologie        | 0.9030899869919435              | 0                               | 0                               | 0                               | 0                               | 0                               | 0                               | 0                               |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| elle             | 0.11598389395537347             | 0.7538953107099275              | 0                               | 0.5219275227991806              | 0.46393557582149386             | 0.1739758409330602              | 0.1739758409330602              | 0.2899597348884337              |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| qui              | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| veut             | 0.4259687322722811              | 0                               | 0                               | 0                               | 0                               | 0                               | 0.4259687322722811              | 5.963562251811935               |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| se               | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| donner           | 0.4259687322722811              | 0                               | 0                               | 0.4259687322722811              | 0.4259687322722811              | 0                               | 0                               | 0                               |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| moyens           | 1.806179973983887               | 0                               | 0                               | 0                               | 0                               | 0                               | 0                               | 0                               |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| entrer           | 0.6020599913279624              | 0                               | 0                               | 0                               | 0.6020599913279624              | 0                               | 0                               | 0                               |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| forte            | 0.6020599913279624              | 0.3010299956639812              | 0                               | 0                               | 0.6020599913279624              | 0                               | 0                               | 0.9030899869919435              |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| et               | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| unie             | 0.6020599913279624              | 0                               | 0                               | 0                               | 0                               | 0                               | 0                               | 0.6020599913279624              |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| dans             | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| le               | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| troisième        | 0.9030899869919435              | 0                               | 0                               | 0                               | 0                               | 0                               | 0                               | 0                               |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| millénaire       | 0.9030899869919435              | 0                               | 0                               | 0                               | 0                               | 0                               | 0                               | 0                               |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
